,internet_service_type_id,internet_service_type,payment_type_id,payment_type,contract_type_id,contract_type,customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn
13,1,DSL,2,Mailed check,2,One year,0068-FIGTF,Female,0,No,No,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,78.2,2078.95,No
14,1,DSL,3,Bank transfer (automatic),2,One year,0074-HDKDG,Male,0,Yes,Yes,25,Yes,No,Yes,Yes,Yes,No,No,No,Yes,61.6,1611,No
15,1,DSL,2,Mailed check,1,Month-to-month,0076-LVEPS,Male,0,No,Yes,29,No,No phone service,Yes,Yes,Yes,Yes,No,No,Yes,45.0,1242.45,No
16,1,DSL,3,Bank transfer (automatic),3,Two year,0078-XZMHT,Male,0,Yes,No,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,85.15,6316.2,No
17,1,DSL,4,Credit card (automatic),2,One year,0080-EMYVY,Female,0,No,No,14,Yes,No,No,Yes,No,No,No,No,No,51.45,727.85,No
18,1,DSL,2,Mailed check,1,Month-to-month,0082-LDZUE,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,Yes,44.3,44.3,No
19,1,DSL,1,Electronic check,2,One year,0083-PIVIK,Male,0,No,No,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,81.25,5567.55,No
20,1,DSL,1,Electronic check,1,Month-to-month,0096-BXERS,Female,0,Yes,No,6,Yes,Yes,No,No,No,No,No,No,No,50.35,314.55,No
21,1,DSL,2,Mailed check,1,Month-to-month,0096-FCPUF,Male,0,No,No,30,Yes,Yes,Yes,No,No,No,No,Yes,Yes,64.5,1888.45,No
22,1,DSL,4,Credit card (automatic),2,One year,0104-PPXDV,Male,0,Yes,No,58,Yes,No,No,No,Yes,No,No,No,No,50.3,2878.55,No
23,1,DSL,3,Bank transfer (automatic),1,Month-to-month,0106-GHRQR,Male,0,No,No,16,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,71.4,1212.1,No
24,1,DSL,1,Electronic check,2,One year,0112-QWPNC,Male,0,Yes,No,49,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,84.35,4059.35,Yes
25,1,DSL,3,Bank transfer (automatic),3,Two year,0114-IGABW,Female,0,Yes,No,71,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No,58.25,4145.9,No
26,1,DSL,3,Bank transfer (automatic),1,Month-to-month,0117-LFRMW,Male,0,Yes,Yes,37,No,No phone service,Yes,Yes,Yes,No,No,No,No,40.2,1448.8,Yes
27,1,DSL,2,Mailed check,2,One year,0121-SNYRK,Male,0,No,No,50,No,No phone service,Yes,No,No,Yes,No,No,Yes,35.4,1748.9,No
28,1,DSL,2,Mailed check,3,Two year,0123-CRBRT,Female,0,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,88.1,5526.75,No
29,1,DSL,2,Mailed check,1,Month-to-month,0128-MKWSG,Female,0,No,Yes,26,No,No phone service,Yes,No,No,Yes,No,Yes,No,45.8,1147,No
30,1,DSL,3,Bank transfer (automatic),2,One year,0134-XWXCE,Female,1,No,No,44,Yes,No,No,No,Yes,Yes,Yes,Yes,No,74.85,3268.05,No
31,1,DSL,1,Electronic check,1,Month-to-month,0156-FVPTA,Male,0,Yes,No,22,Yes,No,Yes,No,No,Yes,No,No,Yes,54.2,1152.7,Yes
32,1,DSL,3,Bank transfer (automatic),3,Two year,0191-EQUUH,Female,0,No,Yes,25,No,No phone service,Yes,No,No,Yes,No,No,No,35.05,844.45,No
33,1,DSL,1,Electronic check,1,Month-to-month,0191-ZHSKZ,Male,1,No,No,30,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,74.75,2111.3,No
34,1,DSL,1,Electronic check,1,Month-to-month,0212-ISBBF,Female,0,No,No,22,No,No phone service,No,Yes,No,No,Yes,Yes,Yes,50.35,1098.85,No
35,1,DSL,3,Bank transfer (automatic),3,Two year,0214-JHPFW,Female,0,Yes,No,70,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No,57.8,4039.3,No
36,1,DSL,4,Credit card (automatic),1,Month-to-month,0222-CNVPT,Male,1,No,No,52,No,No phone service,Yes,No,No,No,Yes,Yes,Yes,48.8,2555.05,No
37,1,DSL,1,Electronic check,1,Month-to-month,0224-HJAPT,Male,0,No,No,5,Yes,Yes,No,No,No,No,No,No,No,47.15,223.15,Yes
38,1,DSL,1,Electronic check,1,Month-to-month,0224-RLWWD,Female,1,No,No,2,Yes,No,No,No,No,No,No,No,Yes,44.3,89.3,No
39,1,DSL,1,Electronic check,1,Month-to-month,0228-MAUWC,Male,0,No,No,19,Yes,Yes,No,No,Yes,Yes,No,No,No,59.55,1144.6,No
40,1,DSL,3,Bank transfer (automatic),3,Two year,0229-LFJAF,Male,0,No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,69.65,4908.25,No
41,1,DSL,3,Bank transfer (automatic),2,One year,0230-UBYPQ,Male,1,Yes,No,63,No,No phone service,Yes,No,No,Yes,No,No,No,36.1,2298.9,No
42,1,DSL,3,Bank transfer (automatic),3,Two year,0230-WEQUW,Male,0,Yes,No,66,No,No phone service,Yes,Yes,Yes,Yes,Yes,No,Yes,56.6,3789.2,No
43,1,DSL,4,Credit card (automatic),2,One year,0234-TEVTT,Female,0,Yes,Yes,48,No,No phone service,Yes,No,Yes,No,No,Yes,No,45.0,2196.3,No
44,1,DSL,4,Credit card (automatic),3,Two year,0238-WHBIQ,Male,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,89.7,6339.3,No
45,1,DSL,3,Bank transfer (automatic),3,Two year,0244-LGNFY,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,92.65,6733,No
46,1,DSL,1,Electronic check,1,Month-to-month,0248-IPDFW,Female,0,No,No,1,Yes,Yes,No,No,No,No,No,No,Yes,50.1,50.1,No
47,1,DSL,1,Electronic check,3,Two year,0253-ZTEOB,Female,0,Yes,Yes,48,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,79.65,3870.3,No
48,1,DSL,4,Credit card (automatic),2,One year,0254-KCJGT,Male,0,Yes,No,52,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,81.4,4354.45,No
49,1,DSL,4,Credit card (automatic),2,One year,0254-WWRKD,Female,0,Yes,Yes,67,Yes,No,No,Yes,No,No,No,No,No,50.55,3431.75,No
50,1,DSL,3,Bank transfer (automatic),1,Month-to-month,0257-KXZGU,Female,0,Yes,Yes,32,Yes,Yes,No,Yes,Yes,No,No,No,No,62.45,2045.55,No
51,1,DSL,2,Mailed check,1,Month-to-month,0260-ZDLGK,Female,0,No,Yes,9,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,72.9,651.4,Yes
52,1,DSL,4,Credit card (automatic),3,Two year,0263-FJTQO,Male,0,Yes,Yes,50,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,70.5,3486.65,No
53,1,DSL,3,Bank transfer (automatic),3,Two year,0270-THENM,Male,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,69.85,5102.35,No
54,1,DSL,2,Mailed check,1,Month-to-month,0274-JKUJR,Male,0,Yes,Yes,7,No,No phone service,Yes,Yes,Yes,No,Yes,Yes,No,58.85,465.7,No
55,1,DSL,1,Electronic check,1,Month-to-month,0277-BKSQP,Male,0,Yes,Yes,8,Yes,No,No,No,No,No,Yes,No,Yes,54.4,475.1,No
56,1,DSL,3,Bank transfer (automatic),3,Two year,0277-ORXQS,Male,0,Yes,Yes,66,No,No phone service,No,No,No,Yes,Yes,Yes,No,50.55,3364.55,No
57,1,DSL,2,Mailed check,1,Month-to-month,0282-NVSJS,Female,1,Yes,Yes,12,No,No phone service,No,No,No,Yes,No,No,Yes,29.3,355.9,No
58,1,DSL,4,Credit card (automatic),1,Month-to-month,0285-INHLN,Male,0,Yes,Yes,27,Yes,No,Yes,Yes,No,No,No,No,Yes,54.75,1510.3,No
59,1,DSL,1,Electronic check,1,Month-to-month,0289-IVARM,Female,0,No,No,35,Yes,No,Yes,Yes,Yes,No,No,No,No,60.55,1982.6,No
60,1,DSL,1,Electronic check,1,Month-to-month,0292-WEGCH,Female,0,Yes,Yes,54,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,86.2,4524.05,No
61,1,DSL,4,Credit card (automatic),1,Month-to-month,0295-QVKPB,Male,0,No,No,5,Yes,No,No,No,Yes,Yes,Yes,No,Yes,63.95,318.1,No
62,1,DSL,3,Bank transfer (automatic),2,One year,0297-RBCSG,Male,0,No,No,19,Yes,No,No,Yes,No,Yes,No,Yes,Yes,65.35,1231.85,No
63,1,DSL,2,Mailed check,3,Two year,0298-XACET,Male,0,Yes,Yes,52,No,No phone service,No,Yes,Yes,Yes,Yes,No,No,50.2,2554,No
64,1,DSL,3,Bank transfer (automatic),3,Two year,0301-FIDRB,Female,0,Yes,Yes,72,No,No phone service,Yes,Yes,Yes,Yes,Yes,Yes,Yes,63.8,4684.3,No
65,1,DSL,2,Mailed check,2,One year,0303-UNCIP,Male,0,No,No,41,Yes,Yes,No,No,Yes,No,No,Yes,No,65.0,2531.8,No
66,1,DSL,2,Mailed check,2,One year,0305-SQECB,Female,0,No,Yes,11,No,No phone service,Yes,No,No,Yes,No,No,Yes,36.05,402.6,No
67,1,DSL,4,Credit card (automatic),2,One year,0308-IVGOK,Female,0,No,No,11,No,No phone service,No,Yes,Yes,Yes,No,No,Yes,40.4,422.6,No
68,1,DSL,3,Bank transfer (automatic),2,One year,0310-SUCIN,Female,0,Yes,No,71,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,84.8,6046.1,No
69,1,DSL,1,Electronic check,1,Month-to-month,0311-QYWSS,Female,0,No,No,6,Yes,No,Yes,No,No,No,No,No,Yes,49.45,314.6,No
70,1,DSL,2,Mailed check,1,Month-to-month,0314-TKOSI,Female,0,No,No,6,Yes,No,Yes,Yes,No,No,No,No,No,55.15,322.9,No
71,1,DSL,4,Credit card (automatic),1,Month-to-month,0319-QZTCO,Female,0,Yes,Yes,3,Yes,No,No,Yes,No,No,Yes,No,Yes,58.7,168.6,No
72,1,DSL,1,Electronic check,1,Month-to-month,0322-CHQRU,Male,0,No,No,2,Yes,No,No,No,No,No,No,No,No,45.35,89.5,Yes
73,1,DSL,2,Mailed check,1,Month-to-month,0322-YINQP,Male,0,No,No,1,Yes,No,Yes,No,No,No,No,No,Yes,48.55,48.55,Yes
74,1,DSL,4,Credit card (automatic),2,One year,0334-ZFJSR,Female,0,Yes,No,55,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,66.05,3462.1,No
75,1,DSL,4,Credit card (automatic),3,Two year,0336-KXKFK,Male,0,No,No,72,No,No phone service,Yes,No,Yes,Yes,Yes,Yes,Yes,61.2,4390.25,No
76,1,DSL,3,Bank transfer (automatic),3,Two year,0336-PIKEI,Male,1,Yes,No,72,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,74.4,5360.75,No
77,1,DSL,3,Bank transfer (automatic),3,Two year,0343-QLUZP,Male,0,No,No,60,No,No phone service,Yes,Yes,Yes,No,No,No,No,39.6,2424.5,No
78,1,DSL,3,Bank transfer (automatic),1,Month-to-month,0356-ERHVT,Male,0,Yes,No,11,Yes,No,No,No,No,No,No,No,Yes,45.9,521.9,No
79,1,DSL,4,Credit card (automatic),3,Two year,0361-HJRDX,Female,0,No,No,68,No,No phone service,Yes,Yes,Yes,Yes,Yes,Yes,No,64.35,4539.6,No
80,1,DSL,3,Bank transfer (automatic),3,Two year,0363-SVHYR,Male,0,Yes,Yes,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,86.85,6263.8,No
81,1,DSL,2,Mailed check,2,One year,0373-AIVNJ,Male,0,No,No,9,No,No phone service,Yes,Yes,Yes,No,No,No,No,39.55,373,No
82,1,DSL,1,Electronic check,1,Month-to-month,0374-AACSZ,Female,0,No,No,1,Yes,No,Yes,No,No,No,No,No,No,50.15,50.15,No
83,1,DSL,1,Electronic check,1,Month-to-month,0374-IOEGQ,Female,0,No,No,3,Yes,No,No,No,No,No,No,No,No,44.6,122.7,No
84,1,DSL,1,Electronic check,1,Month-to-month,0375-HVGXO,Female,0,No,No,1,No,No phone service,No,No,No,No,Yes,No,Yes,34.7,34.7,Yes
85,1,DSL,2,Mailed check,1,Month-to-month,0377-JBKKT,Male,0,Yes,Yes,22,Yes,No,Yes,Yes,No,Yes,No,No,Yes,57.95,1271.8,No
86,1,DSL,4,Credit card (automatic),2,One year,0378-XSZPU,Male,0,Yes,No,58,Yes,No,Yes,Yes,Yes,No,No,No,No,60.3,3563.8,Yes
87,1,DSL,4,Credit card (automatic),3,Two year,0379-DJQHR,Male,0,Yes,Yes,67,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,81.35,5398.6,No
88,1,DSL,4,Credit card (automatic),3,Two year,0383-CLDDA,Female,0,No,No,69,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,85.35,5897.4,No
89,1,DSL,4,Credit card (automatic),2,One year,0384-LPITE,Male,0,No,No,40,No,No phone service,Yes,Yes,Yes,No,Yes,Yes,No,62.05,2511.55,No
90,1,DSL,4,Credit card (automatic),1,Month-to-month,0384-RVBPI,Male,0,No,No,20,Yes,No,Yes,No,Yes,No,No,Yes,No,64.4,1398.6,No
91,1,DSL,3,Bank transfer (automatic),1,Month-to-month,0396-UKGAI,Male,0,No,Yes,23,Yes,No,No,Yes,No,Yes,No,No,Yes,55.3,1284.2,No
92,1,DSL,1,Electronic check,1,Month-to-month,0411-EZJZE,Female,0,No,No,3,Yes,Yes,No,No,No,No,Yes,No,Yes,60.25,170.5,No
93,1,DSL,1,Electronic check,3,Two year,0412-UCCNP,Male,0,No,No,55,Yes,No,Yes,No,Yes,Yes,No,No,Yes,59.2,3175.85,No
94,1,DSL,2,Mailed check,1,Month-to-month,0415-MOSGF,Female,0,No,No,1,Yes,No,No,No,No,No,No,No,No,44.4,44.4,Yes
95,1,DSL,2,Mailed check,1,Month-to-month,0420-BWTPW,Male,0,No,Yes,8,No,No phone service,No,No,No,No,No,No,No,25.5,215.2,Yes
96,1,DSL,4,Credit card (automatic),3,Two year,0420-TXVSG,Male,0,Yes,No,66,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,66.1,4428.45,No
97,1,DSL,2,Mailed check,1,Month-to-month,0423-UDIJQ,Male,1,No,No,9,Yes,No,No,No,No,Yes,No,No,No,49.2,447.9,No
98,1,DSL,1,Electronic check,1,Month-to-month,0430-IHCDJ,Male,0,No,No,15,Yes,Yes,No,No,No,No,No,No,Yes,49.0,749.25,No
99,1,DSL,2,Mailed check,3,Two year,0436-TWFFZ,Female,0,No,No,67,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,85.25,5714.2,No
100,1,DSL,4,Credit card (automatic),3,Two year,0440-EKDCF,Male,0,Yes,No,62,Yes,No,No,Yes,Yes,Yes,No,No,Yes,60.15,3753.2,No
101,1,DSL,1,Electronic check,2,One year,0440-MOGPM,Female,0,No,No,41,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,80.55,3263.9,No
102,1,DSL,2,Mailed check,1,Month-to-month,0440-QEXBZ,Female,0,No,No,44,Yes,Yes,No,No,No,No,No,No,Yes,50.15,2139.1,No
103,1,DSL,3,Bank transfer (automatic),1,Month-to-month,0447-BEMNG,Female,0,Yes,No,48,No,No phone service,Yes,No,Yes,No,No,Yes,Yes,45.3,2145,Yes
104,1,DSL,1,Electronic check,3,Two year,0455-ENTCR,Male,0,Yes,No,66,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,85.25,5538.35,No
105,1,DSL,2,Mailed check,3,Two year,0458-HEUZG,Female,0,No,No,13,No,No phone service,No,No,Yes,Yes,No,No,No,35.4,450.4,No
106,1,DSL,4,Credit card (automatic),3,Two year,0459-SPZHJ,Male,0,Yes,Yes,63,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,83.5,5435,No
107,1,DSL,3,Bank transfer (automatic),1,Month-to-month,0463-ZSDNT,Male,0,No,No,10,Yes,No,No,No,No,No,No,Yes,Yes,56.75,503.25,No
108,1,DSL,1,Electronic check,2,One year,0471-LVHGK,Male,0,Yes,No,41,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,73.0,3001.2,Yes
109,1,DSL,3,Bank transfer (automatic),2,One year,0484-FFVBJ,Male,0,No,No,32,Yes,No,No,No,No,No,Yes,Yes,Yes,64.85,2010.95,No
110,1,DSL,3,Bank transfer (automatic),3,Two year,0487-CRLZF,Female,0,No,No,49,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,74.45,3721.9,No
111,1,DSL,1,Electronic check,2,One year,0489-WMEMG,Female,0,No,Yes,23,Yes,No,No,No,No,Yes,No,No,Yes,49.45,1119.35,No
112,1,DSL,3,Bank transfer (automatic),2,One year,0496-AHOOK,Male,0,Yes,No,24,Yes,No,Yes,No,No,Yes,Yes,Yes,No,74.4,1712.9,No
113,1,DSL,4,Credit card (automatic),3,Two year,0513-RBGPE,Male,0,Yes,Yes,37,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,62.8,2278.75,No
114,1,DSL,1,Electronic check,1,Month-to-month,0516-WJVXC,Female,0,No,No,5,Yes,No,Yes,No,No,Yes,No,No,No,54.2,308.25,Yes
115,1,DSL,1,Electronic check,1,Month-to-month,0523-VNGTF,Female,1,No,No,52,No,No phone service,No,Yes,Yes,Yes,Yes,No,Yes,50.5,2566.3,No
116,1,DSL,3,Bank transfer (automatic),3,Two year,0526-SXDJP,Male,0,Yes,No,72,No,No phone service,Yes,Yes,Yes,No,No,No,No,42.1,2962,No
117,1,DSL,3,Bank transfer (automatic),3,Two year,0531-XBKMM,Male,0,No,Yes,66,Yes,Yes,Yes,Yes,No,Yes,No,No,No,65.7,4378.9,No
118,1,DSL,4,Credit card (automatic),2,One year,0533-UCAAU,Male,1,Yes,No,57,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,71.1,4140.1,No
119,1,DSL,3,Bank transfer (automatic),3,Two year,0536-ESJEP,Male,0,Yes,No,54,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,74.55,4191.45,No
120,1,DSL,2,Mailed check,1,Month-to-month,0541-FITGH,Female,0,Yes,No,2,Yes,No,Yes,No,No,No,No,Yes,Yes,62.15,113.1,No
121,1,DSL,2,Mailed check,1,Month-to-month,0550-DCXLH,Male,0,No,No,13,Yes,No,No,Yes,No,Yes,Yes,Yes,No,73.35,931.55,No
122,1,DSL,3,Bank transfer (automatic),3,Two year,0556-FJEGU,Male,0,No,No,58,Yes,No,No,Yes,Yes,Yes,Yes,No,No,70.1,4048.95,No
123,1,DSL,4,Credit card (automatic),2,One year,0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,No,No,Yes,Yes,No,No,Yes,54.4,957.1,No
124,1,DSL,2,Mailed check,3,Two year,0562-FGDCR,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,74.55,5430.65,No
125,1,DSL,3,Bank transfer (automatic),3,Two year,0562-KBDVM,Female,0,No,No,70,No,No phone service,Yes,Yes,Yes,Yes,No,No,Yes,44.6,3058.15,No
126,1,DSL,4,Credit card (automatic),2,One year,0565-IYCGT,Male,0,No,No,69,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,78.6,5356.45,Yes
127,1,DSL,1,Electronic check,1,Month-to-month,0567-GGCAC,Female,0,No,No,7,Yes,No,Yes,Yes,Yes,No,No,No,No,61.4,438.9,No
128,1,DSL,4,Credit card (automatic),3,Two year,0567-XRHCU,Female,0,Yes,Yes,69,No,No phone service,Yes,No,Yes,No,No,Yes,Yes,43.95,2960.1,No
129,1,DSL,3,Bank transfer (automatic),1,Month-to-month,0584-BJQGZ,Female,0,No,No,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,78.35,1837.9,No
130,1,DSL,1,Electronic check,1,Month-to-month,0587-DMGBH,Female,0,No,No,8,Yes,No,Yes,No,No,No,No,No,Yes,49.85,365.55,Yes
131,1,DSL,1,Electronic check,1,Month-to-month,0601-WZHJF,Male,0,Yes,No,14,No,No phone service,No,No,No,No,Yes,Yes,No,46.35,667.7,Yes
132,1,DSL,2,Mailed check,3,Two year,0602-DDUML,Female,0,No,No,57,Yes,No,No,Yes,Yes,Yes,Yes,No,No,69.75,3894.4,No
133,1,DSL,2,Mailed check,1,Month-to-month,0603-OLQDC,Male,0,No,Yes,12,Yes,No,Yes,No,No,No,Yes,Yes,Yes,69.85,837.5,No
134,1,DSL,4,Credit card (automatic),3,Two year,0604-THJFP,Female,0,Yes,Yes,59,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,75.95,4542.35,No
135,1,DSL,4,Credit card (automatic),2,One year,0607-MVMGC,Male,0,Yes,Yes,45,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,78.75,3600.65,No
136,1,DSL,1,Electronic check,1,Month-to-month,0612-RTZZA,Female,1,No,No,1,No,No phone service,No,No,No,No,No,No,No,25.25,25.25,Yes
137,1,DSL,1,Electronic check,1,Month-to-month,0616-ATFGB,Male,1,Yes,No,1,No,No phone service,No,No,No,No,No,No,No,25.05,25.05,Yes
138,1,DSL,1,Electronic check,3,Two year,0617-AQNWT,Female,0,Yes,No,64,No,No phone service,Yes,No,Yes,Yes,No,Yes,No,47.85,3147.5,Yes
139,1,DSL,2,Mailed check,3,Two year,0621-JFHOL,Female,0,No,No,10,No,No phone service,No,No,No,Yes,No,No,Yes,29.6,299.05,No
140,1,DSL,1,Electronic check,1,Month-to-month,0621-TWIEM,Male,0,No,No,10,Yes,No,No,No,No,No,No,No,Yes,45.55,402.6,Yes
141,1,DSL,3,Bank transfer (automatic),1,Month-to-month,0623-GDISB,Female,0,No,No,1,Yes,No,Yes,No,No,No,No,No,Yes,48.45,48.45,No
142,1,DSL,1,Electronic check,1,Month-to-month,0623-IIHUG,Female,1,No,No,21,No,No phone service,Yes,No,No,No,Yes,No,Yes,41.9,840.1,Yes
143,1,DSL,3,Bank transfer (automatic),2,One year,0628-CNQRM,Male,0,Yes,Yes,22,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,67.5,1544.05,Yes
144,1,DSL,4,Credit card (automatic),2,One year,0635-WKOLD,Male,0,Yes,No,40,Yes,Yes,No,Yes,No,Yes,Yes,No,No,70.75,2921.75,No
145,1,DSL,3,Bank transfer (automatic),2,One year,0654-PQKDW,Female,0,Yes,Yes,62,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,70.75,4263.45,No
146,1,DSL,3,Bank transfer (automatic),1,Month-to-month,0655-YDGFJ,Male,0,No,No,29,Yes,No,No,No,Yes,No,No,No,No,48.95,1323.7,No
147,1,DSL,3,Bank transfer (automatic),2,One year,0657-DOGUM,Female,0,Yes,No,48,Yes,Yes,Yes,No,No,Yes,No,No,Yes,60.6,2985.25,No
148,1,DSL,2,Mailed check,2,One year,0661-KBKPA,Male,0,Yes,Yes,53,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,78.75,3942.45,No
149,1,DSL,4,Credit card (automatic),2,One year,0661-WCQNQ,Male,0,Yes,No,22,Yes,No,Yes,No,No,Yes,No,No,Yes,56.25,1292.2,No
150,1,DSL,2,Mailed check,1,Month-to-month,0661-XEYAN,Female,1,No,No,1,No,No phone service,No,No,No,No,No,No,Yes,25.8,25.8,Yes
151,1,DSL,2,Mailed check,2,One year,0667-NSRGI,Female,0,Yes,No,48,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,69.55,3435.6,No
152,1,DSL,1,Electronic check,1,Month-to-month,0668-OGMHD,Female,0,Yes,No,21,No,No phone service,Yes,No,No,No,No,No,No,28.5,629.35,No
153,1,DSL,1,Electronic check,1,Month-to-month,0674-EYYZV,Female,0,No,No,1,Yes,No,No,No,No,No,Yes,No,Yes,54.65,54.65,No
154,1,DSL,3,Bank transfer (automatic),3,Two year,0674-GCDXG,Male,0,No,No,63,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,71.9,4479.2,No
155,1,DSL,1,Electronic check,2,One year,0679-TDGAK,Male,0,Yes,Yes,50,Yes,No,Yes,No,No,Yes,Yes,Yes,No,75.5,4025.6,No
156,1,DSL,4,Credit card (automatic),2,One year,0687-ZVTHB,Male,0,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,72.45,4653.85,Yes
157,1,DSL,1,Electronic check,1,Month-to-month,0696-UKTOX,Male,0,No,Yes,23,Yes,No,No,Yes,No,Yes,No,No,No,54.15,1312.45,No
158,1,DSL,3,Bank transfer (automatic),1,Month-to-month,0699-NDKJM,Female,0,Yes,No,57,No,No phone service,Yes,Yes,Yes,No,Yes,Yes,Yes,58.75,3437.45,No
159,1,DSL,3,Bank transfer (automatic),1,Month-to-month,0701-TJSEF,Male,0,No,No,9,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,68.25,576.95,No
